Period,M
1.971066,-2.088000
2.831928,-2.707800
2.528784,-2.423300
2.820377,-2.826900
2.828032,-2.533700
2.956193,-2.562500
2.697333,-2.688600
2.879945,-2.539200
2.910012,-2.101800
2.858643,-2.498300
2.896304,-2.704500
2.694321,-2.740800
2.794442,-2.678100
2.306705,-2.547000
2.855818,-2.745800
2.904843,-2.494800
2.868408,-2.798600
2.879905,-2.580600
2.909109,-2.856000
2.405165,-2.507400
2.822353,-2.820800
2.892053,-2.474600
2.791448,-2.759100
2.886385,-2.793600
2.520314,-2.377100
2.723253,-3.602500
2.903515,-2.726800
2.426467,-2.788800
2.591244,-2.406600
2.875679,-2.639400
2.840939,-2.530000
3.527211,-2.698300
3.751222,-2.850300
3.567097,-3.155400
3.598901,-2.611100
3.285135,-2.729000
3.879886,-3.288700
3.011043,-2.461400
3.878536,-2.883200
3.272026,-2.857400
3.079580,-3.152000
3.048483,-2.898600
3.284621,-3.112200
3.107671,-2.628300
3.479215,-2.946900
3.971003,-3.097200
3.679567,-2.626100
3.783780,-3.145400
3.951722,-3.198600
3.070853,-2.771600
3.431525,-2.862500
3.551100,-2.934000
3.399426,-3.122700
3.547940,-2.853000
3.699645,-2.819000
3.524210,-2.812000
3.301568,-2.773600
3.087994,-2.651600
3.431583,-2.793600
3.353149,-2.520600
3.625812,-3.155400
3.275213,-3.094700
3.843047,-2.884300
3.135732,-2.559100
3.356651,-3.188600
3.684483,-2.771400
3.925926,-3.192300
3.196976,-2.981900
3.820194,-2.948600
3.597304,-2.677700
3.325700,-2.870200
3.788999,-2.668600
3.114796,-2.753700
3.975967,-2.987100
3.850918,-2.961000
3.712465,-3.140300
3.943838,-2.975600
3.499038,-2.922200
3.925371,-2.997800
3.433731,-3.235800
3.856587,-3.006500
3.681448,-2.828200
3.904728,-2.869100
3.143754,-2.852900
3.820862,-2.942800
3.848825,-3.034000
3.899801,-2.873300
3.035661,-2.788800
3.596369,-2.962500
3.023041,-2.893200
3.959474,-3.353800
3.602727,-2.769900
3.216357,-2.849700
3.552974,-2.918900
3.832663,-2.734800
3.626316,-2.787000
3.017574,-3.187400
3.462655,-2.839800
3.226005,-2.686600
3.821202,-2.731400
